Date,Name,Country,BusinessType,BusinessSubType,BreachType,DataType,DataType2,InsideOutside,ThirdParty,ThirdPartyName,TotalAffected,RefPage,UID,XREF1,StockSymbol,DataRecovered,ConsumerLawsuit,ArrestProsecution
3292004,GMAC Financial Services,US,Biz,Fin,Stolen Laptops,SSN,NAA,Outside,No,,200000,httpattritionorgdataloss200403gmac01html,DL0469,,No,No,No,No
4162004,Fleet Credit Card Services,US,Biz,Fin,Hack,CCN,,Outside,No,,,httpattritionorgdataloss200404fleet01html,DL0029,,No,Unknown,Unknown,Unknown
4292004,Illinois Secretary of State,US,Gov,State,Hack,MISC,,Outside,No,,200000,httpattritionorgdataloss200404plates01html,DL0030,,No,Unknown,Unknown,Unknown
4292004,University of California at Los Angeles UCLA,US,Edu,Uni,Stolen Laptop,SSN,NAA,Outside,No,,145000,httpattritionorgdataloss200404ucla01html,DL0031,,No,Unknown,Unknown,Unknown
572004,University of California San Diego,US,Edu,Uni,Hack,,,Outside,No,,380000,httpattritionorgdataloss200405sdsu02html,DL0872,,No,No,No,No
5122004,Alameda Alliance for Health,US,Med,NFP,Stolen Disk Drive,SSN,NAA,Outside,Yes,Spotcheck,95000,httpattritionorgdataloss200405saab01html,DL0436,,No,No,No,No
6242004,America Online,US,Biz,Tech,Fraud  SE,EMA,NAA,Inside  Malicious,No,,30000000,httpattritionorgdataloss200406aol01html,DL0032,,TWX,Unknown,Unknown,Unknown
7142004,Intuit,US,Biz,Tech,Stolen Computer,CCN,,Outside,No,,47000,httpattritionorgdataloss200407intuit01html,DL0468,,INTU,No,No,No
832004,Cal State San Marcos,US,Edu,Uni,Stolen Laptop,SSN,NAA,Outside,No,,23000,httpattritionorgdataloss200408csu02html,DL0033,,No,Unknown,Unknown,Unknown
9162004,Teledata Communications,US,Biz,Data,Fraud  SE,MISC,,Inside  Malicious,No,,30000,httpattritionorgdataloss200409tech01html,DL0034,,No,No,No,Yes
9232004,Cal State Hayward,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,2000,httpattritionorgdataloss200409csh01html,DL0035,,No,Unknown,Unknown,Unknown
11252004,Brazos Higher Education Service Corporation,US,Biz,Fin,Stolen Laptop,SSN,NAA,Outside,No,,550000,httpattritionorgdataloss200411braz01html,DL0467,,No,No,Yes,No
12212004,Delta Blood Bank,US,Med,NFP,Stolen Laptop,SSN,NAA,Outside,No,,100000,httpattritionorgdataloss200412blood01html,DL0036,,No,Unknown,Unknown,Unknown
12222004,Hamilton County Ohio Clerk of Courts,US,Gov,County,Web,SSN,NAA,Inside  Accidental,No,,,httpattritionorgdataloss200412hccc01html,DL0372,,No,Unknown,Unknown,Unknown
1102005,George Mason University,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,32000,httpattritionorgdataloss200501gmu01html,DL0037,,No,Unknown,Unknown,Unknown
1182005,University of San Diego,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,3500,httpattritionorgdataloss200501ucsd01html,DL0038,,No,Unknown,Unknown,Unknown
1222005,University of Northern Colorado,US,Edu,Uni,Lost Disk Drive,SSN,NAA,Inside  Accidental,No,,15790,httpattritionorgdataloss200501unc01html,DL0392,,No,Unknown,Unknown,Unknown
2122005,SAIC,US,Gov,Fed,Stolen Computer,SSN,NAA,Outside,No,,45000,httpattritionorgdataloss200502saic01html,DL0039,,SAI,Unknown,Unknown,Unknown
2182005,University of Chicago Hospital,US,Edu,Med,Fraud  SE,NAA,,Inside  Malicious,No,,85,httpattritionorgdataloss200502uch01html,DL0040,,No,Unknown,Unknown,Unknown
2212005,TMobile,US,Biz,Tech,Fraud  SE,PPN,EMA,Outside,No,,400,httpattritionorgdataloss200502tmobile02html,DL0041,,No,No,No,Yes
2262005,Bank of America,US,Biz,Fin,Lost Tapes,CCN,NAA,Outside,Yes,,1000000,httpattritionorgdataloss200502boa01html,DL0042,,BAC,No,No,No
2262005,New York State,US,Gov,State,Web,MISC,,,,,,httpattritionorgdataloss200502newyork01html,DL0043,,No,Unknown,Unknown,Unknown
312005,Paymaxx,US,Biz,Fin,Web,MISC,,,,,100000,httpattritionorgdataloss200503paymaxx01html,DL0044,,No,Unknown,Unknown,Unknown
322005,University of California Davis,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,1100,,DL0374,,No,Unknown,Unknown,Unknown
3112005,Las Vegas DMV,US,Gov,State,Stolen Computer,SSN,NAA,Outside,No,,8900,httpattritionorgdataloss200503lvdmv01html,DL0045,,No,Unknown,Unknown,Unknown
3112005,ChoicePoint,US,Biz,Data,Fraud  SE,SSN,NAA,Outside,No,,163000,httpattritionorgdataloss200503choicepoint01html,DL0046,,CPS,Unknown,Unknown,Unknown
3112005,Kaiser Permanente,US,Med,NFP,Web,MED,,Inside  Accidental,No,,140,httpattritionorgdataloss200503kaiser02html,DL0047,,No,Unknown,Unknown,Unknown
3162005,Chico State University,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,59000,httpattritionorgdataloss200503chico01html,DL0048,,No,Unknown,Unknown,Unknown
3172005,Boston College,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,120000,httpattritionorgdataloss200503bc01html,DL0049,,No,Unknown,Unknown,Unknown
3182005,State of Michigan,US,Gov,State,,MISC,,,,,,httpattritionorgdataloss200503michigan01html,DL0050,,No,Unknown,Unknown,Unknown
3192005,University Nevada Las Vegas,US,Edu,Uni,Hack,MISC,,Outside,No,,5000,httpattritionorgdataloss200503unlv01html,DL0051,,No,Unknown,Unknown,Unknown
3232005,University of California San Francisco,US,Edu,Uni,Hack,SSN,NAA,Outside,No,,7000,,DL0375,,No,Unknown,Unknown,Unknown
3282005,University California Berkeley,US,Edu,Uni,Stolen Laptop,SSN,NAA,Outside,No,,98369,httpattritionorgdataloss200503ucb01html,DL0052,,No,Yes,Unknown,Unknown
482005,San Jose Medical Group,US,Med,Org,Stolen Computer,SSN,NAA,Inside  Malicious,No,,187000,httpattritionorgdataloss200504sjmg01html,DL0053,,No,No,No,Yes
4122005,LexisNexis,US,Biz,Data,Hack,SSN,NAA,Outside,No,,310000,httpattritionorgdataloss200504lexisnexis01html,DL0054,,No,Unknown,Yes,Yes
4122005,National Park Service,US,Biz,NFP,Hack,CCN,NAA,Outside,Yes,Eastern National,15000,httpattritionorgdataloss200504eastnat01html,DL0055,,No,Unknown,Unknown,Unknown
4122005,Tufts University,US,Edu,Uni,Web,MISC,,Outside,Yes,RuffaloCODY,106000,httpattritionorgdataloss200504tufts01html,DL0056,,No,Unknown,Unknown,Unknown
4152005,Polo Ralph Lauren,US,Biz,Retail,Fraud  SE,CCN,,Outside,No,,180000,httpattritionorgdataloss200504prl01html,DL0057,,RL,Unknown,Unknown,Unknown
4202005,Ameritrade,US,Biz,Fin,Lost Tapes,NAA,ACC,Outside,Yes,Unknown,200000,httpattritionorgdataloss200504ameritrade01html,DL0058,,AMTD,Partial,No,No
4212005,Carnegie Mellon University,US,Edu,Uni,Hack,SSN,CCN,Outside,No,,19000,httpattritionorgdataloss200504cm01html,DL0059,,No,Unknown,Unknown,Unknown
4252005,NTT DATA Corporation,JP,Biz,Tech,Stolen Laptop,NAA,EMA,Outside,No,,2146,,DL0376,,No,Unknown,Unknown,Unknown
4262005,Christus St Joseph Hospital,US,Med,Hos,Stolen Computer,SSN,MED,Outside,Yes,Gateway File Systems,16000,httpattritionorgdataloss200504christus01html,DL0060,,No,Unknown,Unknown,Unknown
4282005,Georgia Southern University,US,Edu,Uni,Hack,SSN,CCN,Outside,No,,,httpattritionorgdataloss200504gsu01html,DL0061,,No,Unknown,Unknown,Unknown
4292005,Florida International University,US,Edu,Uni,Hack,SSN,CCN,Outside,No,,,httpattritionorgdataloss200504fiu02html,DL0393,,No,Unknown,Unknown,Unknown
522005,Colorado State Health Dept,US,Gov,Med,Stolen Laptop,MED,,Outside,No,,1600,httpattritionorgdataloss200505chd01html,DL0062,,No,Unknown,Unknown,Unknown
552005,Arbella Mutual Insurance Company,US,Biz,Fin,Web,SSN,NAA,Outside,No,,,httpattritionorgdataloss200505arb01html,DL0394,,No,Unknown,Unknown,Unknown
562005,Michigan State University,US,Edu,Uni,Hack,CCN,,Outside,No,,40000,httpattritionorgdataloss200505msu01html,DL0063,,No,Unknown,Unknown,Unknown
5122005,Hinsdale Central High School,US,Edu,HS,Hack,SSN,,Outside,No,,,httpattritionorgdataloss200505hinsdale01html,DL0064,,No,Unknown,Unknown,Unknown
5122005,Westborough Bank,US,Biz,Fin,Fraud  SE,SSN,,Inside  Malicious,No,,750,httpattritionorgdataloss200505westbr01html,DL0065,,No,Unknown,Unknown,Unknown
5142005,Georgia Technology Authority,US,Gov,State,Fraud  SE,SSN,NAA,Inside  Malicious,No,,465000,httpattritionorgdataloss200505gadmv01html,DL0066,,No,Unknown,Unknown,Unknown
5162005,Oklahoma State University,US,Edu,Uni,Stolen Laptop,SSN,,Outside,No,,37000,httpattritionorgdataloss200505osu01html,DL0067,,No,Unknown,Unknown,Unknown
5182005,University of Iowa,US,Edu,Uni,Hack,CCN,,Outside,No,,30000,httpattritionorgdataloss200505ui01html,DL0068,,No,Unknown,Unknown,Unknown
5222005,Valdosta State University,US,Edu,Uni,Hack,SSN,,Outside,No,,40000,httpattritionorgdataloss200505valdosta01html,DL0069,,No,Unknown,Unknown,Unknown
